"Rank","Team","Last Result","Points","More"
"161","Malta","Azerbaijan

Malta

FT

0
2","987.73*",""
"162
3","Antigua and Barbuda","Antigua and Barbuda

Guyana

FT

1
4","986.58",""
"163
1","Grenada","Republic of Ireland

Grenada

FT

5
0","982.57*",""
"164
2","Cuba","Dominican Republic

Cuba

FT

1
1","981.42",""
"165
6","Eswatini","Eswatini

Eritrea

FT

1
2","979.01",""
"166
3","Bermuda","Bermuda

Cabo Verde

FT

0
3","976.87*",""
"167","St Lucia","Azerbaijan

St. Lucia

FT

6
1","976.71",""
"168
2","Papua New Guinea","Papua New Guinea

Solomon Islands

FT

1
0","974.90",""
"169
7","Afghanistan","Maldives

Afghanistan

FT

0
1","972.75*",""
"170
2","South Sudan","South Sudan

Djibouti

FT

0
1","970.94",""
"171","St Vincent and the Grenadines","Barbados

St. Vincent / Grenadines

FT

2
3","968.27",""
"172
1","Maldives","Maldives

Pakistan

FT

0
3","954.93*",""
"173
1","Andorra","Andorra

Liechtenstein

FT

2
0","945.34*",""
"174","Chinese Taipei","Chinese Taipei

Sri Lanka

FT

1
3","923.78",""
"175","Montserrat","Guyana

Montserrat

FT

3
0","916.75",""
"176
6","Nepal","Nepal

Laos

FT

0
1","914.54",""
"177
2","Cambodia","Cambodia

Bhutan

FT

4
0","911.54*",""
"178
2","Mauritius","Mauritius

Somalia

FT

(2)
0
(4)
0","911.49",""
"179
1","Barbados","Barbados

St. Vincent / Grenadines

FT

2
3","909.89",""
"180
1","Belize","Guyana

Belize

FT

3
1","907.00",""
"181
1","Bangladesh","San Marino

Bangladesh

FT

1
2","899.53*",""
"182
1","Dominica","Guyana

Dominica

FT

2
0","897.69",""
"183
6","Chad","Burundi

Chad

FT

4
0","896.85",""
"184","Eritrea","Eswatini

Eritrea

FT

1
2","887.06",""
"185
5","Laos","Nepal

Laos

FT

0
1","885.03",""
"186
6","Bhutan","Cambodia

Bhutan

FT

4
0","880.55*",""
"187
2","Mongolia","Hong Kong

Mongolia

FT

2
0","879.75*",""
"188
2","Cook Islands","Cook Islands

American Samoa

FT

1
2","877.53",""
"189
2","Aruba","Curaçao

Aruba

FT

4
0","877.30*",""
"190
3","Samoa","Samoa

New Zealand

FT

0
8","876.41",""
"191
3","Sri Lanka","Chinese Taipei

Sri Lanka

FT

1
3","871.82",""
"192
8","American Samoa","American Samoa

Guam

FT

0
6","871.61",""
"193
5","Brunei Darussalam","Bhutan

Brunei

FT

2
1","863.09",""
"194
1","Macau","Macau

Tanzania

FT

0
6","858.03",""
"195","Cayman Islands","Gibraltar

Cayman Islands

FT

4
1","855.45*",""
"196
7","São Tomé and Príncipe","Ethiopia

São Tomé and Príncipe

FT

1
0","855.44",""
"197
1","Djibouti","South Sudan

Djibouti

FT

0
1","853.58",""
"198
2","Somalia","Mauritius

Somalia

FT

(2)
0
(4)
0","839.17",""
"199
2","Tonga","Tonga

Samoa

FT

1
2","835.64",""
"200
2","Timor-Leste","Maldives

Timor-Leste

FT

2
1","825.64",""
"201","Guam","Myanmar

Guam

FT

6
1","825.43*",""
"202
3","Pakistan","Maldives

Pakistan

FT

0
3","824.60*",""
"203
1","Gibraltar","Gibraltar

Cayman Islands

FT

4
1","810.14*",""
"204
1","Seychelles","Lesotho

Seychelles

FT

2
1","804.16",""
"205
1","Turks and Caicos Islands","Belize

Turks and Caicos Islands

FT

3
0","803.98",""
"206
1","Liechtenstein","Andorra

Liechtenstein

FT

2
0","803.57*",""
"207
1","Bahamas","Cayman Islands

Bahamas

FT

1
0","786.82",""
"208","British Virgin Islands","Gibraltar

British Virgin Islands

FT

4
0","782.14*",""
"209
2","US Virgin Islands","US Virgin Islands

Puerto Rico

FT

0
2","779.76",""
"210
1","Anguilla","British Virgin Islands

Anguilla

FT

4
0","760.25",""
"211
1","San Marino","San Marino

Bangladesh

FT

1
2","726.33*",""
