team,elo,fifa_points,blended_rating
Martinique,1496.7510402821563,1229.9681990521326,1497.0759362539407
Matabeleland,1510.55418233541,1229.9681990521326,1509.498764101869
Maule Sur,1525.0546695700991,1229.9681990521326,1522.5492026130892
Mauritania,1453.3476041623842,1170.72,1455.8750312594234
Mauritius,1280.0548986156946,911.49,1290.5579764139893
Mayotte,1473.448352624361,1229.9681990521326,1476.1035173619248
Menorca,1523.0596536106498,1229.9681990521326,1520.753688249585
Mexico,1773.3629601884356,1681.03,1762.3020204804452
Micronesia,1453.836783685438,1229.9681990521326,1458.4531053168942
Moldova,1340.8982501864925,1004.16,1348.66074143634
Monaco,1490.9758389022766,1229.9681990521326,1491.8782550120488
Mongolia,1202.7098804801233,879.75,1219.8022072503004
Montenegro,1493.1997114317062,1295.52,1496.2450013569805
Montserrat,1335.5738562685503,916.75,1340.7148313055673
Morocco,1794.1272158773766,1755.87,1783.6902514407861
Mozambique,1484.5260121980907,1224.31,1485.8692500285897
Myanmar,1248.478193231063,1011.88,1265.761245688039
Namibia,1453.4044049390957,1148.84,1455.1366707935035
Nepal,1235.189352291312,914.54,1250.2890357985134
Netherlands,1853.8591342503746,1757.87,1837.5211426167916
New Caledonia,1579.8438026911995,1036.95,1564.8948779684124
New Zealand,1637.9326380592468,1281.57,1626.0012869556244
Nicaragua,1455.6732868382098,1115.13,1455.9623294903288
Niger,1434.7784984825535,1179.66,1439.485412089749
Nigeria,1711.3154243580577,1585.09,1702.9975004375701
Niue,1478.444673589051,1229.9681990521326,1480.600206230146
North Korea,1520.426736713737,1151.05,1515.53651131822
North Macedonia,1563.922976150573,1372.04,1562.656958742113
North Vietnam,1492.2330382197188,1229.9681990521326,1493.009734397747
Northern Cyprus,1575.4608784424397,1229.9681990521326,1567.9147905981959
Northern Ireland,1561.923534760348,1362.16,1560.5009681677932
Northern Mariana Islands,1258.5228086660936,1229.9681990521326,1282.6705277994843
Norway,1740.9165804826273,1550.94,1728.406329716438
Occitania,1587.3245319563891,1229.9681990521326,1578.5920787607502
Oman,1584.2389023650062,1313.46,1578.827590020506
Orkney,1428.0427560075204,1229.9681990521326,1435.2384804067685
Padania,1603.7448252376075,1229.9681990521326,1593.3703427138469
Pakistan,1159.7260941598927,824.6,1179.1268596056227
Palau,1469.2012231809529,1229.9681990521326,1472.2811008628576
Palestine,1521.749329343302,1244.73,1520.107036436816
Panama,1705.1615857532745,1540.64,1695.8551865624386
Panjab,1532.8382040890933,1229.9681990521326,1529.554383680184
Papua New Guinea,1470.1968400148687,974.9,1463.9737035941846
Paraguay,1760.5876843550438,1503.5,1744.398577933527
Parishes of Jersey,1506.761231619123,1229.9681990521326,1506.0851084572107
Peru,1702.571721098765,1455.87,1690.4656100939608
Philippines,1371.9912890751855,1094.1,1379.889720310777
Poland,1706.8810055398778,1528.0,1696.9465838436402
Portugal,1875.7975978722006,1763.83,1857.4808105045506
Provence,1457.5607701844676,1229.9681990521326,1461.8046931660208
Puerto Rico,1372.1985426993535,1026.11,1377.6230116252862
Qatar,1563.512188818953,1454.96,1565.2791961307903
Raetia,1443.0172093119547,1229.9681990521326,1448.7154883807593
Republic of St. Pauli,1476.3704699604705,1229.9681990521326,1478.7334229644234
Rhodes,1543.4586126044862,1229.9681990521326,1539.1127513440376
Romani people,1478.4295612347737,1229.9681990521326,1480.5866051112964
Romania,1622.7349248709422,1451.16,1618.4425457609968
Russia,1738.7723822503308,1525.6,1725.5622253146792
Rwanda,1441.0938102334164,1126.62,1443.2553864045794
Ryūkyū,1486.6535221777033,1229.9681990521326,1487.988169959933
Réunion,1550.579662810823,1229.9681990521326,1545.5216965297407
Saare County,1389.0687475278498,1229.9681990521326,1400.161872775065
Saarland,1456.1044416526058,1229.9681990521326,1460.4939974873453
Saint Barthélemy,1454.425318657287,1229.9681990521326,1458.9827867915585
Saint Helena,1442.47933095521,1229.9681990521326,1448.231397859689
Saint Kitts and Nevis,1365.463529254669,1229.9681990521326,1378.9171763292022
Saint Lucia,1341.4657746211622,1229.9681990521326,1357.3191971590459
Saint Martin,1350.402808048726,1229.9681990521326,1365.3625272438535
Saint Pierre and Miquelon,1444.6650743266466,1229.9681990521326,1450.198566893982
Saint Vincent and the Grenadines,1397.612426965677,1229.9681990521326,1407.8511842691094
Samoa,1352.824919322465,876.41,1354.7852272590947
San Marino,1022.4291190185019,726.33,1052.013772376878
Sark,1465.2394846599802,1229.9681990521326,1468.7155361939822
Saudi Arabia,1632.1368535338868,1421.43,1625.831554179481
Saugeais,1496.7583763142927,1229.9681990521326,1497.0825386828635
Scotland,1689.05137202272,1498.35,1679.8300728856443
Sealand,1492.0598989416387,1229.9681990521326,1492.8539090474749
Seborga,1486.644068502343,1229.9681990521326,1487.979661652109
Senegal,1834.532696531531,1688.99,1817.6419984576535
Serbia,1736.0063164223327,1508.65,1722.4611707428776
Seychelles,1156.3969820333227,804.16,1175.3931360677702
Shetland,1496.2105218075155,1229.9681990521326,1496.589469626764
Sierra Leone,1461.4911410532134,1148.98,1462.4197848210308
Silesia,1489.2996839018697,1229.9681990521326,1490.3697155116827
Singapore,1352.7851101204524,1059.53,1361.3567934438079
Sint Maarten,1385.2367110550226,1229.9681990521326,1396.7130399495204
Slovakia,1646.496478166629,1473.94,1640.6498989802137
Slovenia,1670.0335889278142,1446.44,1660.8410348610569
Solomon Islands,1478.1609622575006,1031.89,1473.1977450381062
Somalia,1178.9210882934067,839.17,1196.9280737304227
Somaliland,1488.93691565232,1229.9681990521326,1490.043224087088
South Africa,1617.1103721350557,1429.73,1612.6072041778077
South Korea,1796.4728929559467,1588.66,1779.7680360586187
South Ossetia,1485.6810493240444,1229.9681990521326,1487.11294439164
South Sudan,1324.0498506343033,970.94,1332.2985271638677
South Yemen,1487.5908567076237,1229.9681990521326,1488.8317710368615
Spain,1984.6844164650054,1876.4,1959.5407340177637
Sri Lanka,1146.2567022452183,871.82,1168.7082140400678
Sudan,1457.5966649404077,1157.22,1459.2120746375713
Suriname,1530.5176687576698,1132.43,1523.9464973564995
Surrey,1511.9350807363373,1229.9681990521326,1510.7415726627037
Sweden,1686.6681627607054,1514.77,1678.2776562467532
Switzerland,1806.7057968492988,1649.4,1791.1692896887644
Syria,1540.6768880830102,1288.56,1538.7233273948852
Székely Land,1479.428995548827,1229.9681990521326,1481.4860959939444
Sápmi,1456.1681306475691,1229.9681990521326,1460.5513175828123
São Tomé and Príncipe,1281.04610084893,855.44,1289.4276443792928
Tahiti,1533.9840317481585,1019.04,1522.9748497657247
Taiwan,1236.0788141169867,1229.9681990521326,1262.470932705288
Tajikistan,1455.3257710643643,1221.78,1459.4977447382475
Tamil Eelam,1504.2297677601166,1229.9681990521326,1503.806790984105
Tanzania,1443.5769014093169,1180.27,1447.4259849391296
Thailand,1527.4933653379135,1252.14,1525.5440388243046
Tibet,1390.7889202553001,1229.9681990521326,1401.7100282297702
Ticino,1476.6366385809695,1229.9681990521326,1478.9729747228726
Timor-Leste,1102.9087314832109,825.64,1128.0287588095687
Togo,1467.7741420619507,1147.31,1468.0142282542379
Tonga,1283.7888255540643,835.64,1291.1816666748728
Trinidad and Tobago,1524.92273864257,1222.94,1522.176871050011
Tunisia,1697.3029498369613,1483.05,1686.7044334201119
Turkey,1769.3668007678828,1599.04,1755.7470875725553
Turkmenistan,1424.2531265322614,1078.65,1426.3679021757725
Turks and Caicos Islands,1289.0140120283593,803.98,1294.7419682456757
Tuvalu,1384.0443855841406,1229.9681990521326,1395.6399470257265
Two Sicilies,1478.0073011808572,1229.9681990521326,1480.2065710627714
Uganda,1518.180603563566,1264.09,1517.593736953227
Ukraine,1748.6230368607055,1546.88,1735.1956462368846
United Arab Emirates,1598.8237439083712,1370.47,1594.01100048149
United Koreans in Japan,1489.9333310142094,1229.9681990521326,1490.9399979127886
United States,1725.063775096638,1673.13,1718.547703568614
United States Virgin Islands,1193.5286801178345,1229.9681990521326,1224.1758121060511
Uruguay,1847.4744361898963,1673.07,1828.7151336133375
Uzbekistan,1709.6992361571688,1465.34,1697.2220732183785
Vanuatu,1466.9043887735754,997.01,1461.8082775756163
Vatican City,1458.8738844102238,1229.9681990521326,1462.9864959692015
Venezuela,1716.1497339064356,1468.05,1703.1253042803348
Vietnam,1494.9697433626286,1225.68,1495.3180408552844
Vietnam Republic,1468.4572288696972,1229.9681990521326,1471.6115059827275
Wales,1672.4607060626238,1524.29,1665.834448906342
Wallis Islands and Futuna,1425.952900406808,1229.9681990521326,1433.3576103661273
West Papua,1495.122400080551,1229.9681990521326,1495.610160072496
Western Armenia,1498.7233534435827,1229.9681990521326,1498.8510180992246
Western Australia,1490.7948287804713,1229.9681990521326,1491.7153459024241
Western Isles,1479.0243801791144,1229.9681990521326,1481.121942161203
Western Sahara,1488.5214373262443,1229.9681990521326,1489.6692935936198
Yemen,1326.152547905402,1049.49,1337.0252209559203
Yemen DPR,1456.0849327971614,1229.9681990521326,1460.4764395174452
Ynys Môn,1620.503797806887,1229.9681990521326,1608.4534180261983
Yorkshire,1530.0402113831105,1229.9681990521326,1527.0361902447996
Yoruba Nation,1484.2121253921268,1229.9681990521326,1485.7909128529143
Yugoslavia,1732.5754933073963,1229.9681990521326,1709.3179439766568
Zambia,1536.3628811864119,1255.82,1533.6593860261182
Zanzibar,1500.5054977433642,1229.9681990521326,1500.454947969028
Zimbabwe,1476.2013128411484,1118.12,1474.5454390302325
Åland Islands,1478.5260247272586,1229.9681990521326,1480.6734222545329
